V,pH,ΔV,ΔpH,ΔV / ΔpH,ΔpH / ΔV
0.0,2.31,0.0,0.0,,
0.5,2.35,0.5,0.040000000000000036,12.5,0.08
1.0,2.39,0.5,0.040000000000000036,12.5,0.08
1.5,2.46,0.5,0.06999999999999984,7.143,0.14
2.0,2.53,0.5,0.06999999999999984,7.143,0.14
2.5,2.61,0.5,0.08000000000000007,6.25,0.16
3.0,2.72,0.5,0.11000000000000032,4.545,0.22
3.5,2.85,0.5,0.1299999999999999,3.846,0.26
4.0,3.03,0.5,0.17999999999999972,2.778,0.36
4.5,3.31,0.5,0.28000000000000025,1.786,0.56
5.0,4.31,0.5,0.9999999999999996,0.5,2.0
5.5,5.91,0.5,1.6000000000000005,0.312,3.2
6.0,6.27,0.5,0.35999999999999943,1.389,0.72
6.5,6.49,0.5,0.22000000000000064,2.273,0.44
7.0,6.68,0.5,0.1899999999999995,2.632,0.38
7.5,6.85,0.5,0.16999999999999993,2.941,0.34
8.0,7.01,0.5,0.16000000000000014,3.125,0.32
8.5,7.11,0.5,0.10000000000000053,5.0,0.2
9.0,7.29,0.5,0.17999999999999972,2.778,0.36
9.5,7.5,0.5,0.20999999999999996,2.381,0.42
10.0,7.78,0.5,0.28000000000000025,1.786,0.56
10.5,8.25,0.5,0.46999999999999975,1.064,0.94
11.0,9.48,0.5,1.2300000000000004,0.407,2.46
11.5,10.16,0.5,0.6799999999999997,0.735,1.36
12.0,10.57,0.5,0.41000000000000014,1.22,0.82
13.0,10.96,1.0,0.39000000000000057,2.564,0.39
14.0,11.23,1.0,0.2699999999999996,3.704,0.27
15.0,11.34,1.0,0.10999999999999943,9.091,0.11
16.0,11.46,1.0,0.120000000000001,8.333,0.12
17.0,11.52,1.0,0.05999999999999872,16.667,0.06
18.0,11.63,1.0,0.11000000000000121,9.091,0.11
19.0,11.7,1.0,0.06999999999999851,14.286,0.07
20.0,11.74,1.0,0.040000000000000924,25.0,0.04
21.0,11.79,1.0,0.049999999999998934,20.0,0.05
22.0,11.83,1.0,0.040000000000000924,25.0,0.04
23.0,11.86,1.0,0.02999999999999936,33.333,0.03
24.0,11.88,1.0,0.02000000000000135,50.0,0.02
25.0,11.91,1.0,0.02999999999999936,33.333,0.03
26.0,11.95,1.0,0.03999999999999915,25.0,0.04
